#    L    TT             EE             BB             TE          
   164    0.47566E+04    0.96651E+00    0.82943E-02   -0.43004E+02
   165    0.47854E+04    0.95685E+00    0.84074E-02   -0.42662E+02
   166    0.48138E+04    0.94706E+00    0.85215E-02   -0.42294E+02
   167    0.48419E+04    0.93692E+00    0.86366E-02   -0.41901E+02
   168    0.48696E+04    0.92680E+00    0.87527E-02   -0.41480E+02
   169    0.48970E+04    0.91639E+00    0.88697E-02   -0.41031E+02
   170    0.49241E+04    0.90594E+00    0.89878E-02   -0.40556E+02
   171    0.49507E+04    0.89543E+00    0.91068E-02   -0.40052E+02
   172    0.49769E+04    0.88479E+00    0.92268E-02   -0.39521E+02
   173    0.50026E+04    0.87402E+00    0.93478E-02   -0.38963E+02
   174    0.50280E+04    0.86343E+00    0.94698E-02   -0.38378E+02
   175    0.50530E+04    0.85271E+00    0.95927E-02   -0.37765E+02
   176    0.50774E+04    0.84209E+00    0.97165E-02   -0.37124E+02
   177    0.51015E+04    0.83149E+00    0.98414E-02   -0.36457E+02
   178    0.51250E+04    0.82114E+00    0.99671E-02   -0.35763E+02
   179    0.51481E+04    0.81073E+00    0.10094E-01   -0.35040E+02
   180    0.51709E+04    0.80051E+00    0.10221E-01   -0.34291E+02
   181    0.51931E+04    0.79046E+00    0.10350E-01   -0.33516E+02
   182    0.52149E+04    0.78065E+00    0.10480E-01   -0.32713E+02
   183    0.52361E+04    0.77103E+00    0.10610E-01   -0.31884E+02
   184    0.52569E+04    0.76165E+00    0.10741E-01   -0.31029E+02
   185    0.52772E+04    0.75268E+00    0.10873E-01   -0.30148E+02
   186    0.52967E+04    0.74396E+00    0.11007E-01   -0.29240E+02
   187    0.53161E+04    0.73565E+00    0.11141E-01   -0.28306E+02
   188    0.53349E+04    0.72772E+00    0.11275E-01   -0.27347E+02
   189    0.53531E+04    0.72022E+00    0.11411E-01   -0.26362E+02
   190    0.53711E+04    0.71320E+00    0.11548E-01   -0.25353E+02
   191    0.53882E+04    0.70667E+00    0.11685E-01   -0.24318E+02
   192    0.54049E+04    0.70067E+00    0.11823E-01   -0.23258E+02
   193    0.54210E+04    0.69524E+00    0.11962E-01   -0.22175E+02
   194    0.54367E+04    0.69040E+00    0.12102E-01   -0.21067E+02
   195    0.54519E+04    0.68620E+00    0.12243E-01   -0.19936E+02
   196    0.54664E+04    0.68268E+00    0.12384E-01   -0.18781E+02
   197    0.54804E+04    0.67987E+00    0.12526E-01   -0.17605E+02
   198    0.54939E+04    0.67780E+00    0.12669E-01   -0.16405E+02
   199    0.55069E+04    0.67652E+00    0.12813E-01   -0.15183E+02
   200    0.55194E+04    0.67604E+00    0.12958E-01   -0.13940E+02
   201    0.55313E+04    0.67643E+00    0.13103E-01   -0.12675E+02
   202    0.55426E+04    0.67770E+00    0.13249E-01   -0.11389E+02
   203    0.55533E+04    0.67990E+00    0.13396E-01   -0.10082E+02
   204    0.55634E+04    0.68306E+00    0.13543E-01   -0.87563E+01
   205    0.55729E+04    0.68723E+00    0.13691E-01   -0.74104E+01
   206    0.55818E+04    0.69243E+00    0.13840E-01   -0.60452E+01
   207    0.55901E+04    0.69869E+00    0.13989E-01   -0.46613E+01
   208    0.55977E+04    0.70607E+00    0.14139E-01   -0.32591E+01
   209    0.56046E+04    0.71458E+00    0.14290E-01   -0.18391E+01
   210    0.56110E+04    0.72428E+00    0.14441E-01   -0.40205E+00
   211    0.56168E+04    0.73519E+00    0.14593E-01    0.10518E+01
   212    0.56218E+04    0.74735E+00    0.14746E-01    0.25217E+01
   213    0.56263E+04    0.76080E+00    0.14899E-01    0.40075E+01
   214    0.56301E+04    0.77553E+00    0.15053E-01    0.55080E+01
   215    0.56334E+04    0.79173E+00    0.15207E-01    0.70226E+01
   216    0.56359E+04    0.80923E+00    0.15362E-01    0.85516E+01
   217    0.56379E+04    0.82816E+00    0.15518E-01    0.10093E+02
   218    0.56393E+04    0.84855E+00    0.15674E-01    0.11647E+02
   219    0.56400E+04    0.87037E+00    0.15830E-01    0.13215E+02
   220    0.56402E+04    0.89379E+00    0.15987E-01    0.14792E+02
   221    0.56398E+04    0.91873E+00    0.16144E-01    0.16381E+02
   222    0.56387E+04    0.94533E+00    0.16302E-01    0.17979E+02
   223    0.56369E+04    0.97352E+00    0.16460E-01    0.19588E+02
   224    0.56347E+04    0.10033E+01    0.16619E-01    0.21204E+02
   225    0.56318E+04    0.10348E+01    0.16778E-01    0.22830E+02
   226    0.56283E+04    0.10681E+01    0.16938E-01    0.24462E+02
   227    0.56241E+04    0.11031E+01    0.17098E-01    0.26101E+02
   228    0.56194E+04    0.11398E+01    0.17258E-01    0.27747E+02
   229    0.56141E+04    0.11784E+01    0.17419E-01    0.29397E+02
