#    L    TT             EE             TE             PP             TP          
   107    0.28811E+04    0.85773E+00   -0.27402E+02    0.44874E+07    0.61716E+04
   108    0.29134E+04    0.87072E+00   -0.28044E+02    0.44591E+07    0.61063E+04
   109    0.29457E+04    0.88341E+00   -0.28682E+02    0.44310E+07    0.60421E+04
   110    0.29782E+04    0.89579E+00   -0.29316E+02    0.44030E+07    0.59787E+04
   111    0.30108E+04    0.90796E+00   -0.29945E+02    0.43753E+07    0.59161E+04
   112    0.30435E+04    0.91982E+00   -0.30570E+02    0.43478E+07    0.58543E+04
   113    0.30765E+04    0.93139E+00   -0.31189E+02    0.43204E+07    0.57934E+04
   114    0.31096E+04    0.94258E+00   -0.31802E+02    0.42932E+07    0.57332E+04
   115    0.31429E+04    0.95354E+00   -0.32407E+02    0.42663E+07    0.56739E+04
   116    0.31762E+04    0.96406E+00   -0.33005E+02    0.42395E+07    0.56153E+04
   117    0.32098E+04    0.97420E+00   -0.33595E+02    0.42129E+07    0.55576E+04
   118    0.32435E+04    0.98412E+00   -0.34177E+02    0.41865E+07    0.55007E+04
   119    0.32773E+04    0.99366E+00   -0.34750E+02    0.41603E+07    0.54446E+04
   120    0.33112E+04    0.10027E+01   -0.35312E+02    0.41342E+07    0.53893E+04
   121    0.33451E+04    0.10115E+01   -0.35865E+02    0.41084E+07    0.53349E+04
   122    0.33791E+04    0.10197E+01   -0.36407E+02    0.40828E+07    0.52812E+04
   123    0.34131E+04    0.10276E+01   -0.36938E+02    0.40573E+07    0.52284E+04
   124    0.34473E+04    0.10350E+01   -0.37455E+02    0.40320E+07    0.51764E+04
   125    0.34814E+04    0.10420E+01   -0.37961E+02    0.40070E+07    0.51253E+04
   126    0.35156E+04    0.10486E+01   -0.38455E+02    0.39821E+07    0.50750E+04
   127    0.35498E+04    0.10547E+01   -0.38936E+02    0.39574E+07    0.50255E+04
   128    0.35841E+04    0.10604E+01   -0.39403E+02    0.39329E+07    0.49768E+04
   129    0.36184E+04    0.10656E+01   -0.39855E+02    0.39086E+07    0.49290E+04
   130    0.36526E+04    0.10703E+01   -0.40293E+02    0.38845E+07    0.48820E+04
   131    0.36869E+04    0.10746E+01   -0.40716E+02    0.38605E+07    0.48358E+04
   132    0.37213E+04    0.10784E+01   -0.41122E+02    0.38368E+07    0.47904E+04
   133    0.37556E+04    0.10817E+01   -0.41514E+02    0.38133E+07    0.47459E+04
   134    0.37899E+04    0.10845E+01   -0.41887E+02    0.37899E+07    0.47020E+04
   135    0.38242E+04    0.10869E+01   -0.42244E+02    0.37667E+07    0.46589E+04
   136    0.38583E+04    0.10887E+01   -0.42581E+02    0.37438E+07    0.46165E+04
   137    0.38925E+04    0.10901E+01   -0.42901E+02    0.37209E+07    0.45748E+04
   138    0.39266E+04    0.10910E+01   -0.43201E+02    0.36983E+07    0.45337E+04
   139    0.39604E+04    0.10914E+01   -0.43482E+02    0.36759E+07    0.44933E+04
   140    0.39943E+04    0.10913E+01   -0.43745E+02    0.36536E+07    0.44534E+04
   141    0.40280E+04    0.10907E+01   -0.43986E+02    0.36316E+07    0.44141E+04
   142    0.40618E+04    0.10896E+01   -0.44206E+02    0.36097E+07    0.43753E+04
   143    0.40954E+04    0.10881E+01   -0.44407E+02    0.35879E+07    0.43370E+04
   144    0.41288E+04    0.10860E+01   -0.44586E+02    0.35664E+07    0.42992E+04
   145    0.41621E+04    0.10836E+01   -0.44744E+02    0.35450E+07    0.42619E+04
   146    0.41954E+04    0.10806E+01   -0.44879E+02    0.35238E+07    0.42249E+04
   147    0.42284E+04    0.10772E+01   -0.44992E+02    0.35028E+07    0.41884E+04
   148    0.42613E+04    0.10733E+01   -0.45083E+02    0.34820E+07    0.41522E+04
   149    0.42940E+04    0.10690E+01   -0.45151E+02    0.34613E+07    0.41164E+04
   150    0.43265E+04    0.10643E+01   -0.45193E+02    0.34408E+07    0.40809E+04
   151    0.43588E+04    0.10591E+01   -0.45213E+02    0.34204E+07    0.40457E+04
   152    0.43909E+04    0.10535E+01   -0.45209E+02    0.34002E+07    0.40107E+04
   153    0.44228E+04    0.10474E+01   -0.45178E+02    0.33802E+07    0.39761E+04
   154    0.44544E+04    0.10410E+01   -0.45124E+02    0.33603E+07    0.39417E+04
   155    0.44859E+04    0.10342E+01   -0.45045E+02    0.33407E+07    0.39077E+04
   156    0.45170E+04    0.10271E+01   -0.44942E+02    0.33211E+07    0.38739E+04
   157    0.45479E+04    0.10196E+01   -0.44812E+02    0.33017E+07    0.38404E+04
   158    0.45786E+04    0.10118E+01   -0.44657E+02    0.32825E+07    0.38072E+04
   159    0.46090E+04    0.10036E+01   -0.44476E+02    0.32635E+07    0.37744E+04
   160    0.46392E+04    0.99508E+00   -0.44269E+02    0.32446E+07    0.37418E+04
   161    0.46691E+04    0.98635E+00   -0.44035E+02    0.32259E+07    0.37096E+04
   162    0.46987E+04    0.97726E+00   -0.43777E+02    0.32073E+07    0.36777E+04
   163    0.47282E+04    0.96788E+00   -0.43491E+02    0.31888E+07    0.36460E+04
   164    0.47572E+04    0.95828E+00   -0.43180E+02    0.31706E+07    0.36147E+04
   165    0.47860E+04    0.94840E+00   -0.42840E+02    0.31524E+07    0.35838E+04
   166    0.48146E+04    0.93838E+00   -0.42475E+02    0.31345E+07    0.35531E+04
   167    0.48429E+04    0.92801E+00   -0.42084E+02    0.31166E+07    0.35228E+04
   168    0.48707E+04    0.91764E+00   -0.41665E+02    0.30990E+07    0.34928E+04
   169    0.48982E+04    0.90699E+00   -0.41218E+02    0.30814E+07    0.34631E+04
   170    0.49254E+04    0.89628E+00   -0.40745E+02    0.30641E+07    0.34338E+04
   171    0.49521E+04    0.88551E+00   -0.40243E+02    0.30468E+07    0.34048E+04
   172    0.49784E+04    0.87460E+00   -0.39715E+02    0.30297E+07    0.33761E+04
   173    0.50043E+04    0.86357E+00   -0.39158E+02    0.30128E+07    0.33478E+04
   174    0.50298E+04    0.85269E+00   -0.38575E+02    0.29960E+07    0.33198E+04
   175    0.50549E+04    0.84168E+00   -0.37964E+02    0.29793E+07    0.32922E+04
   176    0.50795E+04    0.83077E+00   -0.37325E+02    0.29628E+07    0.32649E+04
   177    0.51037E+04    0.81987E+00   -0.36659E+02    0.29464E+07    0.32380E+04
   178    0.51274E+04    0.80921E+00   -0.35966E+02    0.29302E+07    0.32114E+04
   179    0.51506E+04    0.79849E+00   -0.35245E+02    0.29141E+07    0.31851E+04
   180    0.51735E+04    0.78794E+00   -0.34497E+02    0.28981E+07    0.31592E+04
   181    0.51959E+04    0.77756E+00   -0.33723E+02    0.28822E+07    0.31335E+04
   182    0.52178E+04    0.76743E+00   -0.32921E+02    0.28665E+07    0.31082E+04
   183    0.52392E+04    0.75746E+00   -0.32093E+02    0.28510E+07    0.30832E+04
   184    0.52601E+04    0.74774E+00   -0.31237E+02    0.28355E+07    0.30584E+04
   185    0.52806E+04    0.73841E+00   -0.30357E+02    0.28202E+07    0.30339E+04
   186    0.53003E+04    0.72934E+00   -0.29449E+02    0.28050E+07    0.30097E+04
   187    0.53198E+04    0.72066E+00   -0.28515E+02    0.27899E+07    0.29858E+04
   188    0.53387E+04    0.71236E+00   -0.27556E+02    0.27750E+07    0.29621E+04
   189    0.53570E+04    0.70448E+00   -0.26571E+02    0.27602E+07    0.29387E+04
   190    0.53752E+04    0.69707E+00   -0.25562E+02    0.27455E+07    0.29155E+04
   191    0.53925E+04    0.69015E+00   -0.24526E+02    0.27309E+07    0.28925E+04
   192    0.54094E+04    0.68375E+00   -0.23466E+02    0.27164E+07    0.28698E+04
   193    0.54256E+04    0.67792E+00   -0.22382E+02    0.27021E+07    0.28473E+04
