#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    66    0.17411E+04   -0.39826E+01    0.94114E-05   -0.39826E+01    0.27335E+00   -0.66028E-08    0.94114E-05   -0.66028E-08    0.28684E-10
    67    0.17641E+04   -0.43836E+01    0.91177E-05   -0.43836E+01    0.28539E+00   -0.67325E-08    0.91177E-05   -0.67325E-08    0.27681E-10
    68    0.17875E+04   -0.47946E+01    0.88360E-05   -0.47946E+01    0.29767E+00   -0.71798E-08    0.88360E-05   -0.71798E-08    0.26722E-10
    69    0.18112E+04   -0.52136E+01    0.85671E-05   -0.52136E+01    0.31017E+00   -0.78913E-08    0.85671E-05   -0.78913E-08    0.25807E-10
    70    0.18352E+04   -0.56419E+01    0.83118E-05   -0.56419E+01    0.32292E+00   -0.88138E-08    0.83118E-05   -0.88138E-08    0.24933E-10
    71    0.18593E+04   -0.60817E+01    0.80703E-05   -0.60817E+01    0.33592E+00   -0.98746E-08    0.80703E-05   -0.98746E-08    0.24097E-10
    72    0.18835E+04   -0.65344E+01    0.78418E-05   -0.65344E+01    0.34913E+00   -0.10924E-07    0.78418E-05   -0.10924E-07    0.23297E-10
    73    0.19080E+04   -0.70006E+01    0.76247E-05   -0.70006E+01    0.36253E+00   -0.11793E-07    0.76247E-05   -0.11793E-07    0.22531E-10
    74    0.19326E+04   -0.74795E+01    0.74177E-05   -0.74795E+01    0.37610E+00   -0.12312E-07    0.74177E-05   -0.12312E-07    0.21798E-10
    75    0.19576E+04   -0.79699E+01    0.72194E-05   -0.79699E+01    0.38985E+00   -0.12312E-07    0.72194E-05   -0.12312E-07    0.21095E-10
    76    0.19828E+04   -0.84710E+01    0.70285E-05   -0.84710E+01    0.40378E+00   -0.11691E-07    0.70285E-05   -0.11691E-07    0.20422E-10
    77    0.20084E+04   -0.89828E+01    0.68442E-05   -0.89828E+01    0.41788E+00   -0.10613E-07    0.68442E-05   -0.10613E-07    0.19776E-10
    78    0.20344E+04   -0.95068E+01    0.66660E-05   -0.95068E+01    0.43217E+00   -0.93094E-08    0.66660E-05   -0.93094E-08    0.19156E-10
    79    0.20605E+04   -0.10039E+02    0.64933E-05   -0.10039E+02    0.44661E+00   -0.80114E-08    0.64933E-05   -0.80114E-08    0.18561E-10
    80    0.20869E+04   -0.10582E+02    0.63255E-05   -0.10582E+02    0.46118E+00   -0.69502E-08    0.63255E-05   -0.69502E-08    0.17989E-10
    81    0.21135E+04   -0.11134E+02    0.61621E-05   -0.11134E+02    0.47585E+00   -0.63085E-08    0.61621E-05   -0.63085E-08    0.17440E-10
    82    0.21403E+04   -0.11697E+02    0.60033E-05   -0.11697E+02    0.49063E+00   -0.60756E-08    0.60033E-05   -0.60756E-08    0.16912E-10
    83    0.21674E+04   -0.12268E+02    0.58493E-05   -0.12268E+02    0.50550E+00   -0.61922E-08    0.58493E-05   -0.61922E-08    0.16405E-10
    84    0.21947E+04   -0.12846E+02    0.57005E-05   -0.12846E+02    0.52046E+00   -0.65992E-08    0.57005E-05   -0.65992E-08    0.15918E-10
    85    0.22221E+04   -0.13432E+02    0.55570E-05   -0.13432E+02    0.53547E+00   -0.72374E-08    0.55570E-05   -0.72374E-08    0.15449E-10
    86    0.22498E+04   -0.14024E+02    0.54191E-05   -0.14024E+02    0.55056E+00   -0.80454E-08    0.54191E-05   -0.80454E-08    0.14998E-10
    87    0.22779E+04   -0.14623E+02    0.52865E-05   -0.14623E+02    0.56568E+00   -0.89529E-08    0.52865E-05   -0.89529E-08    0.14564E-10
    88    0.23059E+04   -0.15228E+02    0.51588E-05   -0.15228E+02    0.58086E+00   -0.98872E-08    0.51588E-05   -0.98872E-08    0.14146E-10
    89    0.23343E+04   -0.15840E+02    0.50358E-05   -0.15840E+02    0.59609E+00   -0.10776E-07    0.50358E-05   -0.10776E-07    0.13743E-10
    90    0.23630E+04   -0.16458E+02    0.49170E-05   -0.16458E+02    0.61131E+00   -0.11546E-07    0.49170E-05   -0.11546E-07    0.13354E-10
    91    0.23918E+04   -0.17081E+02    0.48022E-05   -0.17081E+02    0.62653E+00   -0.12140E-07    0.48022E-05   -0.12140E-07    0.12978E-10
    92    0.24208E+04   -0.17708E+02    0.46912E-05   -0.17708E+02    0.64173E+00   -0.12556E-07    0.46912E-05   -0.12556E-07    0.12616E-10
    93    0.24502E+04   -0.18341E+02    0.45838E-05   -0.18341E+02    0.65690E+00   -0.12810E-07    0.45838E-05   -0.12810E-07    0.12266E-10
    94    0.24796E+04   -0.18977E+02    0.44800E-05   -0.18977E+02    0.67201E+00   -0.12913E-07    0.44800E-05   -0.12913E-07    0.11928E-10
    95    0.25093E+04   -0.19618E+02    0.43796E-05   -0.19618E+02    0.68706E+00   -0.12881E-07    0.43796E-05   -0.12881E-07    0.11602E-10
