#    L    TT             EE             TE             PP             TP          
    97    0.25839E+04    0.72044E+00   -0.21086E+02    0.45732E+07    0.66309E+04
    98    0.26148E+04    0.73519E+00   -0.21737E+02    0.45429E+07    0.65557E+04
    99    0.26459E+04    0.74980E+00   -0.22392E+02    0.45127E+07    0.64821E+04
   100    0.26772E+04    0.76427E+00   -0.23046E+02    0.44828E+07    0.64100E+04
   101    0.27087E+04    0.77865E+00   -0.23701E+02    0.44530E+07    0.63393E+04
   102    0.27407E+04    0.79280E+00   -0.24357E+02    0.44234E+07    0.62700E+04
   103    0.27726E+04    0.80680E+00   -0.25012E+02    0.43939E+07    0.62021E+04
   104    0.28048E+04    0.82063E+00   -0.25666E+02    0.43647E+07    0.61354E+04
   105    0.28371E+04    0.83423E+00   -0.26318E+02    0.43357E+07    0.60700E+04
   106    0.28696E+04    0.84768E+00   -0.26969E+02    0.43068E+07    0.60057E+04
   107    0.29021E+04    0.86082E+00   -0.27616E+02    0.42781E+07    0.59425E+04
   108    0.29350E+04    0.87373E+00   -0.28262E+02    0.42497E+07    0.58803E+04
   109    0.29680E+04    0.88633E+00   -0.28903E+02    0.42214E+07    0.58191E+04
   110    0.30011E+04    0.89862E+00   -0.29539E+02    0.41934E+07    0.57588E+04
   111    0.30344E+04    0.91068E+00   -0.30171E+02    0.41655E+07    0.56994E+04
   112    0.30678E+04    0.92244E+00   -0.30798E+02    0.41379E+07    0.56408E+04
   113    0.31015E+04    0.93389E+00   -0.31419E+02    0.41104E+07    0.55830E+04
   114    0.31353E+04    0.94496E+00   -0.32033E+02    0.40832E+07    0.55261E+04
   115    0.31692E+04    0.95580E+00   -0.32640E+02    0.40562E+07    0.54700E+04
   116    0.32032E+04    0.96618E+00   -0.33240E+02    0.40293E+07    0.54147E+04
   117    0.32375E+04    0.97618E+00   -0.33831E+02    0.40027E+07    0.53603E+04
   118    0.32720E+04    0.98595E+00   -0.34414E+02    0.39763E+07    0.53066E+04
   119    0.33064E+04    0.99534E+00   -0.34986E+02    0.39501E+07    0.52538E+04
   120    0.33410E+04    0.10042E+01   -0.35549E+02    0.39241E+07    0.52018E+04
   121    0.33756E+04    0.10128E+01   -0.36102E+02    0.38983E+07    0.51506E+04
   122    0.34103E+04    0.10209E+01   -0.36643E+02    0.38727E+07    0.51002E+04
   123    0.34451E+04    0.10286E+01   -0.37174E+02    0.38473E+07    0.50505E+04
   124    0.34799E+04    0.10358E+01   -0.37690E+02    0.38221E+07    0.50017E+04
   125    0.35147E+04    0.10426E+01   -0.38195E+02    0.37972E+07    0.49536E+04
   126    0.35496E+04    0.10491E+01   -0.38687E+02    0.37724E+07    0.49064E+04
   127    0.35845E+04    0.10550E+01   -0.39166E+02    0.37478E+07    0.48599E+04
   128    0.36194E+04    0.10605E+01   -0.39631E+02    0.37234E+07    0.48141E+04
   129    0.36544E+04    0.10655E+01   -0.40080E+02    0.36993E+07    0.47692E+04
   130    0.36894E+04    0.10699E+01   -0.40514E+02    0.36753E+07    0.47249E+04
   131    0.37244E+04    0.10740E+01   -0.40934E+02    0.36515E+07    0.46815E+04
   132    0.37594E+04    0.10776E+01   -0.41337E+02    0.36279E+07    0.46388E+04
   133    0.37944E+04    0.10807E+01   -0.41724E+02    0.36046E+07    0.45968E+04
   134    0.38293E+04    0.10833E+01   -0.42092E+02    0.35814E+07    0.45554E+04
   135    0.38643E+04    0.10854E+01   -0.42444E+02    0.35584E+07    0.45148E+04
   136    0.38991E+04    0.10870E+01   -0.42776E+02    0.35357E+07    0.44747E+04
   137    0.39339E+04    0.10881E+01   -0.43089E+02    0.35131E+07    0.44353E+04
   138    0.39686E+04    0.10888E+01   -0.43384E+02    0.34907E+07    0.43965E+04
   139    0.40031E+04    0.10890E+01   -0.43658E+02    0.34685E+07    0.43582E+04
   140    0.40376E+04    0.10886E+01   -0.43913E+02    0.34465E+07    0.43205E+04
   141    0.40720E+04    0.10878E+01   -0.44146E+02    0.34246E+07    0.42833E+04
   142    0.41063E+04    0.10865E+01   -0.44359E+02    0.34030E+07    0.42466E+04
   143    0.41405E+04    0.10847E+01   -0.44551E+02    0.33815E+07    0.42103E+04
   144    0.41746E+04    0.10824E+01   -0.44721E+02    0.33603E+07    0.41745E+04
   145    0.42084E+04    0.10797E+01   -0.44869E+02    0.33392E+07    0.41392E+04
   146    0.42424E+04    0.10765E+01   -0.44995E+02    0.33182E+07    0.41042E+04
   147    0.42760E+04    0.10729E+01   -0.45097E+02    0.32975E+07    0.40696E+04
   148    0.43094E+04    0.10687E+01   -0.45178E+02    0.32770E+07    0.40353E+04
   149    0.43427E+04    0.10642E+01   -0.45234E+02    0.32566E+07    0.40014E+04
   150    0.43758E+04    0.10592E+01   -0.45265E+02    0.32364E+07    0.39678E+04
   151    0.44087E+04    0.10539E+01   -0.45272E+02    0.32163E+07    0.39345E+04
   152    0.44412E+04    0.10480E+01   -0.45256E+02    0.31965E+07    0.39014E+04
   153    0.44737E+04    0.10417E+01   -0.45212E+02    0.31768E+07    0.38686E+04
   154    0.45059E+04    0.10351E+01   -0.45145E+02    0.31573E+07    0.38361E+04
   155    0.45378E+04    0.10281E+01   -0.45052E+02    0.31379E+07    0.38039E+04
   156    0.45694E+04    0.10208E+01   -0.44934E+02    0.31187E+07    0.37720E+04
   157    0.46009E+04    0.10131E+01   -0.44789E+02    0.30997E+07    0.37404E+04
   158    0.46321E+04    0.10051E+01   -0.44619E+02    0.30809E+07    0.37091E+04
   159    0.46630E+04    0.99671E+00   -0.44422E+02    0.30622E+07    0.36780E+04
   160    0.46936E+04    0.98803E+00   -0.44198E+02    0.30436E+07    0.36473E+04
   161    0.47240E+04    0.97914E+00   -0.43949E+02    0.30253E+07    0.36168E+04
   162    0.47541E+04    0.96990E+00   -0.43673E+02    0.30070E+07    0.35867E+04
   163    0.47839E+04    0.96039E+00   -0.43370E+02    0.29890E+07    0.35568E+04
   164    0.48134E+04    0.95067E+00   -0.43041E+02    0.29711E+07    0.35273E+04
   165    0.48426E+04    0.94068E+00   -0.42683E+02    0.29534E+07    0.34980E+04
   166    0.48715E+04    0.93057E+00   -0.42299E+02    0.29358E+07    0.34691E+04
   167    0.49002E+04    0.92011E+00   -0.41889E+02    0.29183E+07    0.34404E+04
   168    0.49284E+04    0.90967E+00   -0.41451E+02    0.29011E+07    0.34121E+04
   169    0.49562E+04    0.89897E+00   -0.40984E+02    0.28839E+07    0.33841E+04
   170    0.49837E+04    0.88822E+00   -0.40491E+02    0.28670E+07    0.33564E+04
   171    0.50107E+04    0.87743E+00   -0.39969E+02    0.28501E+07    0.33290E+04
   172    0.50374E+04    0.86653E+00   -0.39419E+02    0.28334E+07    0.33019E+04
   173    0.50635E+04    0.85550E+00   -0.38841E+02    0.28169E+07    0.32752E+04
   174    0.50893E+04    0.84466E+00   -0.38236E+02    0.28005E+07    0.32487E+04
   175    0.51146E+04    0.83371E+00   -0.37603E+02    0.27843E+07    0.32226E+04
   176    0.51394E+04    0.82287E+00   -0.36942E+02    0.27682E+07    0.31968E+04
   177    0.51638E+04    0.81206E+00   -0.36253E+02    0.27522E+07    0.31713E+04
   178    0.51877E+04    0.80152E+00   -0.35537E+02    0.27364E+07    0.31461E+04
   179    0.52111E+04    0.79095E+00   -0.34792E+02    0.27207E+07    0.31213E+04
   180    0.52342E+04    0.78056E+00   -0.34020E+02    0.27052E+07    0.30967E+04
   181    0.52567E+04    0.77037E+00   -0.33222E+02    0.26897E+07    0.30724E+04
   182    0.52787E+04    0.76045E+00   -0.32396E+02    0.26745E+07    0.30484E+04
   183    0.53001E+04    0.75072E+00   -0.31543E+02    0.26593E+07    0.30246E+04
   184    0.53212E+04    0.74126E+00   -0.30663E+02    0.26443E+07    0.30012E+04
   185    0.53417E+04    0.73223E+00   -0.29757E+02    0.26294E+07    0.29779E+04
   186    0.53614E+04    0.72347E+00   -0.28824E+02    0.26147E+07    0.29550E+04
   187    0.53810E+04    0.71514E+00   -0.27864E+02    0.26000E+07    0.29322E+04
   188    0.53999E+04    0.70722E+00   -0.26880E+02    0.25855E+07    0.29097E+04
   189    0.54183E+04    0.69975E+00   -0.25869E+02    0.25712E+07    0.28875E+04
   190    0.54364E+04    0.69279E+00   -0.24833E+02    0.25569E+07    0.28654E+04
   191    0.54537E+04    0.68634E+00   -0.23771E+02    0.25428E+07    0.28436E+04
   192    0.54705E+04    0.68045E+00   -0.22684E+02    0.25288E+07    0.28220E+04
   193    0.54867E+04    0.67516E+00   -0.21573E+02    0.25149E+07    0.28005E+04
   194    0.55025E+04    0.67049E+00   -0.20437E+02    0.25011E+07    0.27793E+04
   195    0.55178E+04    0.66648E+00   -0.19278E+02    0.24874E+07    0.27582E+04
   196    0.55323E+04    0.66319E+00   -0.18095E+02    0.24739E+07    0.27374E+04
   197    0.55465E+04    0.66064E+00   -0.16889E+02    0.24604E+07    0.27167E+04
   198    0.55600E+04    0.65886E+00   -0.15660E+02    0.24471E+07    0.26961E+04
   199    0.55731E+04    0.65790E+00   -0.14409E+02    0.24339E+07    0.26757E+04
