#    L    TT             EE             BB             TE          
   275    0.47486E+04    0.50165E+01    0.26889E-01    0.96473E+02
   276    0.47207E+04    0.51509E+01    0.27056E-01    0.97583E+02
   277    0.46924E+04    0.52875E+01    0.27222E-01    0.98679E+02
   278    0.46639E+04    0.54260E+01    0.27387E-01    0.99737E+02
   279    0.46350E+04    0.55664E+01    0.27552E-01    0.10077E+03
   280    0.46059E+04    0.57087E+01    0.27716E-01    0.10178E+03
   281    0.45766E+04    0.58530E+01    0.27880E-01    0.10276E+03
   282    0.45469E+04    0.59990E+01    0.28043E-01    0.10371E+03
   283    0.45171E+04    0.61468E+01    0.28206E-01    0.10462E+03
   284    0.44870E+04    0.62965E+01    0.28367E-01    0.10551E+03
   285    0.44567E+04    0.64480E+01    0.28528E-01    0.10637E+03
   286    0.44261E+04    0.66012E+01    0.28689E-01    0.10720E+03
   287    0.43953E+04    0.67561E+01    0.28849E-01    0.10800E+03
   288    0.43643E+04    0.69127E+01    0.29008E-01    0.10876E+03
   289    0.43331E+04    0.70708E+01    0.29166E-01    0.10950E+03
   290    0.43018E+04    0.72304E+01    0.29324E-01    0.11020E+03
   291    0.42703E+04    0.73923E+01    0.29481E-01    0.11087E+03
   292    0.42384E+04    0.75552E+01    0.29637E-01    0.11150E+03
   293    0.42066E+04    0.77188E+01    0.29793E-01    0.11210E+03
   294    0.41745E+04    0.78846E+01    0.29948E-01    0.11267E+03
   295    0.41425E+04    0.80511E+01    0.30102E-01    0.11320E+03
   296    0.41103E+04    0.82199E+01    0.30256E-01    0.11370E+03
   297    0.40779E+04    0.83886E+01    0.30408E-01    0.11417E+03
   298    0.40453E+04    0.85595E+01    0.30560E-01    0.11460E+03
   299    0.40127E+04    0.87319E+01    0.30712E-01    0.11499E+03
   300    0.39800E+04    0.89042E+01    0.30862E-01    0.11534E+03
   301    0.39472E+04    0.90780E+01    0.31012E-01    0.11567E+03
   302    0.39144E+04    0.92526E+01    0.31161E-01    0.11596E+03
   303    0.38815E+04    0.94286E+01    0.31310E-01    0.11621E+03
   304    0.38485E+04    0.96060E+01    0.31457E-01    0.11642E+03
   305    0.38156E+04    0.97835E+01    0.31604E-01    0.11660E+03
   306    0.37825E+04    0.99616E+01    0.31750E-01    0.11674E+03
   307    0.37495E+04    0.10141E+02    0.31896E-01    0.11684E+03
   308    0.37165E+04    0.10322E+02    0.32040E-01    0.11691E+03
   309    0.36835E+04    0.10502E+02    0.32184E-01    0.11693E+03
   310    0.36505E+04    0.10682E+02    0.32327E-01    0.11693E+03
   311    0.36175E+04    0.10865E+02    0.32469E-01    0.11688E+03
   312    0.35847E+04    0.11047E+02    0.32611E-01    0.11680E+03
   313    0.35518E+04    0.11229E+02    0.32752E-01    0.11668E+03
   314    0.35190E+04    0.11412E+02    0.32892E-01    0.11652E+03
   315    0.34862E+04    0.11595E+02    0.33031E-01    0.11633E+03
   316    0.34536E+04    0.11778E+02    0.33170E-01    0.11609E+03
   317    0.34210E+04    0.11960E+02    0.33308E-01    0.11582E+03
   318    0.33885E+04    0.12144E+02    0.33445E-01    0.11552E+03
   319    0.33561E+04    0.12327E+02    0.33581E-01    0.11518E+03
   320    0.33239E+04    0.12510E+02    0.33717E-01    0.11480E+03
   321    0.32918E+04    0.12694E+02    0.33852E-01    0.11439E+03
   322    0.32598E+04    0.12877E+02    0.33986E-01    0.11393E+03
   323    0.32279E+04    0.13059E+02    0.34120E-01    0.11344E+03
   324    0.31962E+04    0.13242E+02    0.34252E-01    0.11291E+03
   325    0.31647E+04    0.13422E+02    0.34384E-01    0.11236E+03
   326    0.31333E+04    0.13604E+02    0.34516E-01    0.11175E+03
   327    0.31021E+04    0.13785E+02    0.34647E-01    0.11111E+03
   328    0.30712E+04    0.13964E+02    0.34777E-01    0.11045E+03
   329    0.30404E+04    0.14143E+02    0.34906E-01    0.10974E+03
   330    0.30098E+04    0.14321E+02    0.35035E-01    0.10899E+03
   331    0.29795E+04    0.14498E+02    0.35163E-01    0.10822E+03
   332    0.29493E+04    0.14675E+02    0.35291E-01    0.10741E+03
   333    0.29194E+04    0.14851E+02    0.35418E-01    0.10657E+03
   334    0.28897E+04    0.15026E+02    0.35544E-01    0.10569E+03
   335    0.28602E+04    0.15198E+02    0.35670E-01    0.10478E+03
   336    0.28310E+04    0.15370E+02    0.35795E-01    0.10384E+03
   337    0.28021E+04    0.15542E+02    0.35920E-01    0.10285E+03
   338    0.27735E+04    0.15711E+02    0.36044E-01    0.10184E+03
   339    0.27451E+04    0.15880E+02    0.36168E-01    0.10079E+03
   340    0.27171E+04    0.16046E+02    0.36291E-01    0.99726E+02
   341    0.26892E+04    0.16211E+02    0.36414E-01    0.98614E+02
   342    0.26617E+04    0.16375E+02    0.36536E-01    0.97472E+02
   343    0.26345E+04    0.16537E+02    0.36658E-01    0.96302E+02
   344    0.26076E+04    0.16697E+02    0.36780E-01    0.95102E+02
   345    0.25810E+04    0.16855E+02    0.36901E-01    0.93873E+02
   346    0.25547E+04    0.17012E+02    0.37022E-01    0.92622E+02
   347    0.25288E+04    0.17167E+02    0.37142E-01    0.91335E+02
   348    0.25032E+04    0.17319E+02    0.37262E-01    0.90018E+02
   349    0.24779E+04    0.17469E+02    0.37382E-01    0.88672E+02
   350    0.24529E+04    0.17617E+02    0.37502E-01    0.87304E+02
   351    0.24285E+04    0.17763E+02    0.37621E-01    0.85907E+02
   352    0.24042E+04    0.17907E+02    0.37740E-01    0.84481E+02
   353    0.23804E+04    0.18048E+02    0.37859E-01    0.83040E+02
   354    0.23569E+04    0.18187E+02    0.37978E-01    0.81562E+02
   355    0.23338E+04    0.18323E+02    0.38096E-01    0.80062E+02
   356    0.23110E+04    0.18458E+02    0.38215E-01    0.78548E+02
   357    0.22887E+04    0.18589E+02    0.38333E-01    0.77005E+02
   358    0.22667E+04    0.18717E+02    0.38451E-01    0.75447E+02
   359    0.22451E+04    0.18843E+02    0.38570E-01    0.73860E+02
   360    0.22239E+04    0.18966E+02    0.38688E-01    0.72255E+02
   361    0.22031E+04    0.19087E+02    0.38806E-01    0.70627E+02
   362    0.21827E+04    0.19205E+02    0.38924E-01    0.68979E+02
   363    0.21627E+04    0.19320E+02    0.39043E-01    0.67314E+02
   364    0.21431E+04    0.19431E+02    0.39161E-01    0.65628E+02
   365    0.21239E+04    0.19540E+02    0.39279E-01    0.63926E+02
   366    0.21051E+04    0.19646E+02    0.39398E-01    0.62207E+02
   367    0.20867E+04    0.19747E+02    0.39516E-01    0.60471E+02
   368    0.20687E+04    0.19847E+02    0.39635E-01    0.58721E+02
   369    0.20512E+04    0.19943E+02    0.39754E-01    0.56954E+02
   370    0.20341E+04    0.20036E+02    0.39873E-01    0.55176E+02
   371    0.20174E+04    0.20125E+02    0.39993E-01    0.53382E+02
   372    0.20011E+04    0.20211E+02    0.40112E-01    0.51577E+02
   373    0.19853E+04    0.20294E+02    0.40232E-01    0.49759E+02
   374    0.19699E+04    0.20373E+02    0.40352E-01    0.47930E+02
   375    0.19548E+04    0.20449E+02    0.40472E-01    0.46092E+02
   376    0.19403E+04    0.20523E+02    0.40593E-01    0.44243E+02
   377    0.19262E+04    0.20591E+02    0.40714E-01    0.42387E+02
   378    0.19125E+04    0.20656E+02    0.40836E-01    0.40521E+02
   379    0.18992E+04    0.20718E+02    0.40957E-01    0.38649E+02
   380    0.18864E+04    0.20778E+02    0.41080E-01    0.36770E+02
   381    0.18740E+04    0.20830E+02    0.41202E-01    0.34885E+02
   382    0.18620E+04    0.20882E+02    0.41325E-01    0.32996E+02
   383    0.18505E+04    0.20928E+02    0.41449E-01    0.31102E+02
   384    0.18395E+04    0.20971E+02    0.41573E-01    0.29205E+02
   385    0.18288E+04    0.21011E+02    0.41697E-01    0.27305E+02
   386    0.18185E+04    0.21047E+02    0.41822E-01    0.25403E+02
   387    0.18087E+04    0.21079E+02    0.41947E-01    0.23500E+02
   388    0.17993E+04    0.21107E+02    0.42073E-01    0.21597E+02
   389    0.17903E+04    0.21129E+02    0.42200E-01    0.19695E+02
   390    0.17818E+04    0.21150E+02    0.42327E-01    0.17795E+02
   391    0.17737E+04    0.21167E+02    0.42455E-01    0.15895E+02
   392    0.17660E+04    0.21181E+02    0.42583E-01    0.13999E+02
   393    0.17588E+04    0.21190E+02    0.42712E-01    0.12107E+02
   394    0.17520E+04    0.21195E+02    0.42842E-01    0.10219E+02
   395    0.17455E+04    0.21196E+02    0.42972E-01    0.83358E+01
